"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2013","2,893.15","2,741.08","2,955.47","2,725.56","","6.31%"
"08/01/2013","2,721.37","2,774.12","2,855.89","2,720.57","","-1.69%"
"07/01/2013","2,768.15","2,619.36","2,773.60","2,539.15","","6.36%"
"06/01/2013","2,602.59","2,757.65","2,788.22","2,494.54","","-6.03%"
"05/01/2013","2,769.64","2,712.01","2,851.48","2,688.59","","2.13%"
"04/01/2013","2,712.00","2,622.24","2,735.53","2,542.10","","3.35%"
"03/01/2013","2,624.02","2,627.93","2,746.02","2,589.84","","-0.36%"
"02/01/2013","2,633.55","2,706.22","2,718.56","2,563.64","","-2.57%"
"01/01/2013","2,702.98","2,659.79","2,754.80","2,659.79","","2.54%"
"12/01/2012","2,635.93","2,580.90","2,668.23","2,567.15","","2.36%"
"11/01/2012","2,575.25","2,500.31","2,592.43","2,427.32","","2.86%"
"10/01/2012","2,503.64","2,451.29","2,579.81","2,440.58","","2.01%"
"09/01/2012","2,454.26","2,435.35","2,604.77","2,420.46","","0.56%"
"08/01/2012","2,440.71","2,326.34","2,494.06","2,261.77","","4.94%"
"07/01/2012","2,325.72","2,266.41","2,354.75","2,142.46","","2.69%"
"06/01/2012","2,264.72","2,120.90","2,264.72","2,050.16","","6.88%"
"05/01/2012","2,118.94","2,306.48","2,344.95","2,097.76","","-8.13%"
"04/01/2012","2,306.43","2,481.02","2,509.93","2,238.45","","-6.90%"
"03/01/2012","2,477.28","2,509.15","2,611.42","2,437.60","","-1.39%"
"02/01/2012","2,512.11","2,425.83","2,557.86","2,425.83","","3.95%"
"01/01/2012","2,416.66","2,315.75","2,467.62","2,279.73","","4.32%"
"12/01/2011","2,316.55","2,328.62","2,402.39","2,182.76","","-0.60%"
"11/01/2011","2,330.43","2,352.76","2,373.00","2,065.75","","-2.30%"
"10/01/2011","2,385.22","2,146.70","2,506.22","2,054.98","","9.43%"
"09/01/2011","2,179.66","2,309.64","2,326.78","1,935.89","","-5.32%"
"08/01/2011","2,302.08","2,691.93","2,709.04","2,077.06","","-13.79%"
"07/01/2011","2,670.37","2,848.90","2,887.30","2,608.04","","-6.25%"
"06/01/2011","2,848.53","2,868.54","2,871.69","2,692.95","","-0.47%"
"05/01/2011","2,861.92","3,025.00","3,029.68","2,777.73","","-4.96%"
"04/01/2011","3,011.25","2,923.02","3,012.76","2,833.07","","3.45%"
"03/01/2011","2,910.91","3,021.45","3,041.39","2,717.74","","-3.39%"
"02/01/2011","3,013.09","2,967.26","3,077.24","2,930.06","","2.01%"
"01/01/2011","2,953.63","2,807.76","3,004.27","2,756.49","","5.76%"
"12/01/2010","2,792.82","2,665.66","2,882.88","2,665.66","","5.35%"
"11/01/2010","2,650.99","2,861.56","2,902.80","2,635.08","","-6.82%"
"10/01/2010","2,844.99","2,747.93","2,891.52","2,690.88","","3.53%"
"09/01/2010","2,747.90","2,629.51","2,827.44","2,610.46","","4.76%"
"08/01/2010","2,622.95","2,756.00","2,849.45","2,560.00","","-4.35%"
"07/01/2010","2,742.14","2,548.49","2,801.46","2,502.50","","6.56%"
